,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
6181,191538P1,Wifi,"Stuck at the airport or your flight is delayed? Not to worry! VYCAB drivers can check your flight status and wait for you accordingly. So, you don't have to worry, we will do all to ensure a comfortable trip

1. Hassle-free rides 
2. Fixed Rates
3. Rides on Demand
4. Reliable Rides
5. Easy Tracking
6. The intuitive platform for the riders.",sw
6186,191688P1,Yoga mats," This yoga class is the perfect way to enjoy some relaxation in the busy city while also taking in the sites of the beautiful seaside. While the sounds of the waves surround you, we will practice a gentle vinyasa flow designed to leave you feeling relaxed and ready to go with a clear mind. ",tl
6246,19328P8,Tour Guide Gratuities,"Nothing makes a weekend better than a little brunching and a little boozing. Come check out Austin’s newest way to brunch with a deep dive into THE original restaurant row. And as a bonus, get your steps in on this high-energy, mimosa-fueled exploration of one of our city’s favorite neighborhoods. Hear entertaining stories of local businesses, weird characters, and humorous history that gives Austin the pep in our step we enjoy today.

Make 3 stops along the way for tastes of our best brunch food specialties and adult beverages. Food tastings equal up to a full brunch. You never know what delicious secrets the ‘704 is hiding, but we guarantee your taste buds will thank you!

This brunch experience is perfect for locals (tours aren’t just for tourists!), adult birthdays, bach parties, and anyone looking to mix up their weekend routine!",fr
6251,193509P1,Eiffel Tower,"Bypass the long lines at the Eiffel Tower with this tour that includes summit access. After fast track, skip-the-line access, proceed to the second level to survey the city from the viewing platforms while listening to commentary about Paris culture, traditions, and history. Then, proceed to the summit to see Gustave Eiffel's private apartments and sip Champagne from the onsite bar (own expense).
",de
6262,194095P1,Professional guide,"Taking in Times Square, Grand Central, and everywhere in between, my 42nd Street and Midtown tour covers a west-to-east cross section of the island. The history of Midtown becoming the city’s entertainment district and how it eclipsed Lower Manhattan as the main place the city does business will be discussed. Being in the center of the city, some of New York’s most prominent sights are located in this area.",it
6274,194540P1,Private tour guide,"This is an exclusive, private tour of NYC. Full immersion in The Christmas Spirit, specific to Manhattan. All chocolates personally sourced from excuisite boutique Chocolatiers across Manhattan. Stunning, sexy, astonishingly controversial murals & sculpture throughout Rock Center. Mr. Venaglia, the only NYC tour guide, featured Guest Historian on ""Mysteries at the Museum."" Mark's Tour is frequently cited as transforming New Yorker's opinion of Midtown and Rockefeller Center. Though we only travel 3 blocks by foot, above and below ground, the visuals are epic. Participants also experience surprisingly private, quiet pockets within the glorious cacophony of the Center. Meet the most affluent family on earth in 1931, who dare to merge Capitalism with their spiritual beliefs and who also reinvent Christmas as we know it. Special arrangements can be made in advance for hot beverage rest stops and Gourmet Chocolate or Boutique Gin Tastings.",fr
6309,195355P2,transport; lunch,"During the tour, we will visit the most important tourist places in the city, such as, the Gothic Quarter, and for sure, the incredible Sagrada Familia temple. 
This tour is a great choice for those who want to experience the depth of culture and history that lives on in this vibrant city.",fr
6394,196771P11,Private guide,"In this private walking tour you will be able to see the beauties of the places like Palau Güell, Plaça Reial, Artist hangout, Palau de la Musica, Casa Calvet, Casa Lleo Morera, Casa Amatller, Casa Batllo, Casa Mila, and The Sagrada Familia.

Discover one of Gaudi's best artworks, modernism movement and the story of how he was discovered in Palau Güell at first place.
Enjoy in beautiful square and the famous lampposts by Gaudi at Plaça Reial.

- Private tour: only you & your host.
- Discover the iconic examples of the Modernism in Barcelona.
- Visit famous works of Gaudí, La Pedrera and Sagrada Familia.
- 100% personalized to your wishes.
- Best insights from a local architect & discover hidden gems.
- Explore the city & get exciting local tips.",it
6432,196807P1,JOB MATERIAL,"IF YOU ARE LOVING THE HANDCRAFTS AND FEEL CURIOSITY FOR THE WORLD OF MARROQUINERIA, THIS IS YOUR WORKSHOP. YOU CAN CREATE WITH YOUR HANDS FROM BEGINNING TO A SKIN OBJECT AND CUSTOMIZE IT LIKE, GUIDED BY THE BEST PROFESSIONALS.",sw
6437,197063P15,Professional Local Tour Guide; Güell Palace admission fee: 12 € per person; Sagrada Familia admission fee : 26 EUR per person,"Embark on a captivating three-hour walking tour to explore the magnificent Gaudí heritage in Barcelona. Begin at Pl. Reial, a vibrant square, before venturing to the iconic Güell Palace. Stroll along Passeig de Gràcia, admiring the Illa de la Discòrdia, which showcases the remarkable Casa Batlló and Casa Milà. Conclude your tour with the awe-inspiring Sagrada Familia, a masterpiece that epitomizes Gaudí’s architectural brilliance. Immerse yourself in the enchanting world of Gaudí as you discover these extraordinary landmarks, their stories and unique designs.

",it
6445,197338P12,local professional guide; Sainte-Chapelle entry fee 11.5 Euro per adult,"Step back in time on a two-hour medieval walking tour of Paris, exploring some of the city's most iconic landmarks and monuments. With a knowledgeable guide leading the way, you'll delve into the rich history of the city and discover some hidden gems along the way. Begin your journey by exploring the Wall of Philippe II Augustus, a defensive fortification built to protect the city from invasion in the late 12th century. The wall is a testament to the strategic thinking of King Philippe II, who recognized the importance of defending his growing city from rival powers. Then, head to the Collège des Bernardins, a Gothic-style building that was once a renowned theological college and now serves as a cultural and spiritual center. From there, make your way to the awe-inspiring Cathédrale Notre-Dame de Paris, and visit the stunning Sainte-Chapelle, a 13th-century Gothic chapel. End your tour at the Clock Tower, a majestic structure that houses one of the oldest bells in the world.",es
